LSOA11,PROCODE3,EVENT_COUNT
E01030031,RGQ,5009
E01029886,RGR,5009
E01008426,RTD,5009
E01019873,RTG,5009
E01030081,RGQ,5009
E01003534,R1H,5008
E01018032,RGT,5007
E01030215,RGQ,5005
E01008049,RHQ,5002
E01013411,RCB,4998
E01008158,RHQ,4998
E01029593,RJE,4997
E01030059,RGQ,4996
E01004723,RYJ,4996
E01013408,RCB,4996
E01005189,R0A,4996
E01012704,RXL,4995
E01010490,RL4,4994
E01032116,RD1,4994
E01008344,RTD,4993
E01020285,RBZ,4991
E01012129,RTR,4989
E01030029,RGQ,4986
E01010473,RL4,4986
E01031421,RYR,4984
E01013455,RTG,4979
E01008457,RTD,4978
E01020088,RBZ,4978
E01008004,RHQ,4978
E01006679,RQ6,4977
E01026427,RM1,4975
E01008380,RTD,4974
E01029996,RGQ,4974
E01003917,RJZ,4974
E01010448,RL4,4972
E01019945,RH8,4972
E01028727,RTH,4971
E01033644,RR1,4969
E01004250,R1H,4968
E01026428,RM1,4968
E01020776,RLN,4967
E01002774,RKE,4965
E01022012,RDE,4962
E01013573,RTG,4962
E01001640,RJ2,4961
E01023918,RWH,4955
E01032905,RBN,4954
E01030401,RVR,4953
E01033153,R1H,4953
E01007944,RHQ,4952
E01025173,RTX,4952
E01013350,RCB,4951
E01019903,RH8,4951
E01008062,RHQ,4951
E01008037,RHQ,4949
E01003617,R1H,4949
E01031415,RYR,4948
E01028343,RK5,4944
E01027570,RTX,4944
E01008379,RTD,4943
E01008814,RLN,4943
E01028468,RTH,4941
E01020002,RH8,4941
E01028353,RK5,4937
E01007940,RHQ,4936
E01027787,RCB,4936
E01007925,RHQ,4936
E01031168,RKB,4935
E01026075,RWD,4935
E01031832,RYR,4934
E01014952,RVJ,4934
E01008138,RHQ,4933
E01008363,RTD,4932
E01019777,RFS,4932
E01004720,RYJ,4931
E01022862,RDU,4930
E01032890,RLT,4930
E01008697,RLN,4929
E01007897,RHQ,4928
E01008357,RTD,4928
E01026612,RGP,4927
E01020010,RH8,4927
E01030742,RTK,4925
E01004600,RJ7,4925
E01000092,RF4,4924
E01023096,RDU,4924
E01027827,RCB,4921
E01020326,RH8,4920
E01010566,RL4,4920
E01009629,RKB,4918
E01030199,RGQ,4918
E01030206,RGQ,4918
E01019383,RTX,4917
E01018294,RGT,4916
E01010017,RXK,4916
E01008444,RTD,4916
E01028568,RTH,4915
E01014313,RJE,4914
E01020330,RH8,4912
E01023800,RWH,4911
E01032954,RTH,4911
E01008767,RLN,4908
E01007982,RHQ,4908
E01014147,RXW,4908
E01020509,RBD,4907
E01018982,REF,4907
E01008398,RTD,4907
E01020280,RBZ,4906
E01008280,RR7,4906
E01008335,RTD,4904
E01007843,RHQ,4904
E01013240,RJL,4904
E01028513,RTH,4903
E01007900,RHQ,4901
E01009744,RNA,4898
E01033642,RR1,4897
E01024169,RN7,4896
E01031141,RKB,4895
E01011916,RXF,4894
E01007993,RHQ,4894
E01032889,RBK,4894
E01008090,RHQ,4893
E01007895,RHQ,4893
E01005317,R0A,4893
E01019995,RH8,4893
E01022591,RN5,4893
E01022895,RDU,4892
E01013353,RCB,4892
E01004350,R1H,4891
E01008750,RLN,4891
E01007300,RBL,4891
E01015633,RGN,4891
E01013412,RCB,4890
E01021988,RDE,4890
E01008836,RLN,4890
E01031231,RJC,4889
E01019381,RTX,4887
E01004272,R1H,4887
E01027808,RCB,4887
E01020349,RDZ,4886
E01003501,R1H,4886
E01030014,RGQ,4885
E01032582,RJ1,4885
E01031820,RYR,4884
E01005232,R0A,4884
E01004124,RVR,4884
E01013438,RCB,4883
E01007872,RHQ,4882
E01027842,RCB,4882
E01008306,RTD,4878
E01018319,RJR,4878
E01007875,RHQ,4878
E01029448,RJF,4876
E01008139,RHQ,4876
E01029445,RJF,4875
E01033432,RC1,4875
E01001995,RKE,4875
E01008309,RTD,4874
E01033556,RTD,4873
E01033449,RGQ,4872
E01004273,R1H,4871
E01030390,RVR,4870
E01030550,RVR,4870
E01002643,RQM,4869
E01027786,RCB,4868
E01031173,RKB,4867
E01003927,RJ1,4866
E01004178,RVR,4866
E01018987,REF,4865
E01026083,RWD,4864
E01029479,RJF,4864
E01010476,RL4,4864
E01023095,RDU,4863
E01013375,RCB,4862
E01016773,RD8,4861
E01023108,RDU,4860
E01033127,RGQ,4860
E01018379,RJR,4860
E01013472,RTG,4859
E01017461,RC1,4859
E01022891,RDU,4859
E01012568,RWW,4859
E01028313,RK5,4859
E01003503,R1H,4858
E01019915,RH8,4857
E01000853,RRV,4857
E01022710,RHM,4856
E01009841,RNA,4855
E01007963,RHQ,4854
E01005178,R0A,4854
E01020005,RH8,4854
E01023240,RN5,4852
E01027140,RNS,4851
E01000125,RAL,4850
E01005318,R0A,4850
E01030800,RDU,4850
E01002968,RAX,4848
E01030013,RGQ,4848
E01018888,REF,4848
E01008456,RTD,4847
E01031789,RYR,4844
E01008059,RHQ,4844
E01020263,RH8,4844
E01029469,RJF,4844
E01027845,RCB,4844
E01020061,RH8,4843
E01015611,RGN,4843
E01018329,RJR,4841
E01001048,RJ6,4840
E01019932,RH8,4839
E01017992,RGT,4839
E01017842,RXQ,4838
E01027621,RTR,4838
E01003438,RVR,4837
E01031457,RYR,4836
E01021717,RDE,4836
E01016146,RPA,4836
E01018792,RK9,4835
E01033255,RJC,4834
E01030030,RGQ,4834
E01016947,RXH,4834
E01032809,RVV,4834
E01022573,RN5,4833
E01005198,R0A,4833
E01018904,REF,4833
E01011402,RR8,4833
E01027634,RCB,4832
E01001013,RJ6,4831
E01000117,RAL,4831
E01008460,RTD,4830
E01012939,RCB,4830
E01008005,RHQ,4829
E01030217,RGQ,4829
E01010430,RL4,4828
E01008118,RHQ,4827
E01021680,RDE,4823
E01009360,RXK,4823
E01028297,RK5,4823
E01033666,R0A,4822
E01026733,RM1,4821
E01019049,REF,4820
E01033629,RRK,4819
E01010097,RXK,4819
E01031250,RJC,4819
E01003604,R1H,4819
E01023861,RWG,4818
E01032847,RN5,4816
E01004287,R1H,4816
E01026730,RM1,4816
E01013386,RCB,4815
E01033210,RVV,4814
E01030083,RGQ,4814
E01033269,RHQ,4813
E01005222,R0A,4813
E01008418,RTD,4812
E01008727,RLN,4810
E01008092,RHQ,4810
E01029418,RJF,4810
E01013432,RCB,4809
E01008063,RHQ,4808
E01029965,RGQ,4808
E01027798,RCB,4806
E01023099,RDU,4805
E01030187,RGQ,4805
E01005190,R0A,4805
E01009913,RNA,4805
E01030009,RGQ,4805
E01028819,RTH,4803
E01026425,RM1,4803
E01026008,RWD,4803
E01019912,RH8,4802
E01030011,RGQ,4801
E01007891,RHQ,4800
E01004149,RVR,4800
E01005279,R0A,4800
E01030159,RGQ,4799
E01026234,RWD,4799
E01013988,RLQ,4798
E01005091,R0A,4798
E01020030,RH8,4797
E01010447,RL4,4797
E01020055,RH8,4796
E01015256,RA9,4796
E01028997,RXW,4795
E01019896,RH8,4794
E01013387,RCB,4794
E01013696,RWE,4792
E01023287,RN5,4791
E01031468,RYR,4791
E01013595,RTG,4791
E01003529,R1H,4788
E01023145,RDU,4786
E01006441,RBN,4785
E01031163,RKB,4785
E01010474,RL4,4784
E01007893,RHQ,4784
E01008416,RTD,4784
E01008289,RTD,4784
E01020023,RH8,4783
E01013369,RCB,4781
E01006115,R0A,4781
E01020135,RBZ,4780
E01032903,RBL,4780
E01007969,RHQ,4780
E01008006,RHQ,4779
E01009781,RNA,4778
E01010416,RL4,4778
E01027801,RCB,4777
E01020281,RBZ,4776
E01019017,REF,4776
E01029902,RGQ,4775
E01008446,RTD,4775
E01008826,RLN,4775
E01019362,RTX,4774
E01018385,RJR,4774
E01014949,RVJ,4774
E01024774,RWF,4773
E01000286,RAL,4772
E01027835,RCB,4772
E01031399,RYR,4771
E01006187,R0A,4770
E01015536,RN3,4770
E01031423,RYR,4769
E01019503,RK5,4768
E01009993,RXK,4767
E01033605,RYJ,4766
E01023105,RDU,4766
E01031234,RJC,4765
E01027977,RK5,4765
E01022540,RN5,4763
E01019349,RTX,4763
E01008395,RTD,4762
E01013346,RCB,4762
E01026436,RM1,4761
E01018975,REF,4760
E01031794,RYR,4760
E01001959,RYJ,4760
E01020350,RDZ,4760
E01031389,RYR,4759
E01033051,RDE,4759
E01032593,RTR,4758
E01008698,RLN,4757
E01018339,RJR,4756
E01007918,RHQ,4755
E01006112,R0A,4755
E01004004,RJZ,4755
E01030065,RGR,4754
E01027855,RCB,4753
E01028533,RTH,4753
E01024249,RVV,4752
E01004247,R1H,4752
E01007850,RHQ,4751
E01020528,RBD,4751
E01008746,RLN,4749
E01024139,RN7,4749
E01009741,RNA,4748
E01007942,RHQ,4746
E01008224,RR7,4746
E01021843,RQW,4745
E01028736,RTH,4745
E01026102,RWD,4744
E01032787,R1H,4744
E01018983,REF,4743
E01018236,RGT,4743
E01018922,REF,4743
E01003591,R1H,4742
E01030746,RTK,4742
E01027181,RNS,4742
E01010107,RXK,4740
E01031513,RYR,4740
E01020108,RBZ,4740
E01026054,RWD,4740
E01032481,RWP,4739
E01012504,RWW,4739
E01003913,RJZ,4739
E01028584,RTH,4739
E01024276,RN7,4739
E01011661,RR8,4738
