LSOA11,EVENT_COUNT
E01001450,6075
E01001451,4591
E01001452,4102
E01001453,4728
E01001454,4523
E01001455,4045
E01001456,3922
E01001457,5583
E01001458,5287
E01001459,5270
E01001460,5361
E01001461,5412
E01001462,4636
E01001463,4429
E01001464,4816
E01001465,5534
E01001466,4546
E01001467,5465
E01001468,4743
E01001469,5506
E01001470,5371
E01001471,6495
E01001472,4787
E01001473,5119
E01001474,5471
E01001475,5863
E01001476,5652
E01001477,6218
E01001478,4198
E01001479,5896
E01001480,4815
E01001481,5461
E01001482,5718
E01001483,3400
E01001484,4755
E01001485,5997
E01001486,6472
E01001487,6932
E01001488,5355
E01001489,6295
E01001491,5796
E01001492,6232
E01001493,5966
E01001494,5317
E01001495,4951
E01001496,5745
E01001497,4781
E01001498,5364
E01001499,5413
E01001500,4649
E01001501,5922
E01001502,5031
E01001503,4961
E01001504,4606
E01001505,5304
E01001506,3773
E01001507,5537
E01001508,5462
E01001509,4763
E01001510,1957
E01001511,4446
E01001512,4942
E01001513,5961
E01001514,4209
E01001515,5446
E01001516,5024
E01001517,5173
E01001518,4460
E01001519,6383
E01001520,5153
E01001521,4845
E01001522,4759
E01001523,4810
E01001524,4259
E01001525,5643
E01001526,4951
E01001527,5084
E01001528,4455
E01001529,4515
E01001530,4624
E01001531,3898
E01001532,4853
E01001533,4801
E01001534,4695
E01001535,4715
E01001536,5011
E01001537,4944
E01001538,5403
E01001539,5050
E01001540,5169
E01001541,4274
E01001542,4708
E01001543,4898
E01001544,5090
E01001545,6184
E01001546,5144
E01001547,6160
E01001548,5025
E01001549,5599
E01001550,4956
E01001551,4966
E01001552,5992
E01001553,4729
E01001554,5001
E01001555,6488
E01001556,4825
E01001557,4345
E01001558,4167
E01001559,5522
E01001560,5695
E01001562,7566
E01001563,4282
E01001564,4181
E01001565,5115
E01001566,5060
E01001567,4374
E01001568,4291
E01001569,4653
E01001570,5519
E01001571,3808
E01001572,3860
E01001573,3711
E01001574,4381
E01001575,4237
E01001576,4198
E01001577,3989
E01001578,4563
E01001579,4253
E01001580,3346
E01001581,4234
E01001582,3844
E01001583,3135
E01001584,3941
E01001585,3305
E01001586,4155
E01001587,4136
E01001588,5641
E01001589,4493
E01001590,4050
E01001591,5545
E01001592,3487
E01001593,4037
E01001594,5367
E01001595,4836
E01001596,4084
E01001597,3857
E01001598,4035
E01001599,4453
E01001600,3796
E01001601,4106
E01001602,5954
E01001603,4701
E01001604,3541
E01001605,4133
E01001606,3861
E01001607,3812
E01001608,3639
E01001609,4136
E01001610,4151
E01001611,4408
E01001613,4018
E01001614,3679
E01001615,4078
E01001617,4144
E01001618,3929
E01001619,4602
E01001620,3967
E01001621,4528
E01001623,4200
E01001624,4332
E01001625,4776
E01001629,4986
E01001631,4318
E01001632,4196
E01001633,4049
E01001634,4259
E01001635,3417
E01001636,3531
E01001637,4558
E01001638,5607
E01001640,8499
E01001641,3659
E01001642,3667
E01001644,5742
E01001645,4999
E01001646,5744
E01001647,4324
E01001648,4317
E01001649,3972
E01001650,4988
E01001651,4966
E01001652,4830
E01001653,3782
E01001654,4422
E01001655,3690
E01001656,3426
E01001657,3684
E01001658,4945
E01001659,4630
E01001660,4588
E01001661,4365
E01001662,5779
E01001664,3893
E01001665,3762
E01001666,3212
E01001667,5037
E01001668,7303
E01001669,5330
E01001671,3656
E01001672,3871
E01001673,5339
E01001674,4933
E01001675,4423
E01001676,4082
E01001677,4017
E01001678,4369
E01001679,3392
E01001680,4060
E01001681,3142
E01001682,3868
E01001683,3895
E01001684,3814
E01001685,3349
E01001686,4116
E01001687,3624
E01001688,4600
E01001690,3965
E01001692,3093
E01001693,3422
E01001694,3671
E01001695,3645
E01001696,3479
E01001697,4176
E01001698,4354
E01001699,2803
E01001700,4580
E01001701,4588
E01001702,3462
E01001703,4283
E01001704,4491
E01001705,6044
E01001706,3479
E01001708,4383
E01001709,2755
E01001710,4097
E01001711,3023
E01001712,4377
E01001713,3203
E01001714,4002
E01001715,3124
E01001716,4404
E01001717,2998
E01001718,3892
E01001719,4119
E01001720,4192
E01001722,5923
E01001723,5131
E01001724,5181
E01001725,4585
E01001726,3386
E01001727,4315
E01001728,4166
E01001729,5903
E01001730,6287
E01001731,5440
E01001732,4749
E01001733,4865
E01001734,5187
E01001735,4678
E01001736,3505
E01001737,4273
E01001738,4768
E01001739,4996
E01001740,3793
E01001741,3271
E01001742,4933
E01001744,5645
E01001745,5613
E01001746,3630
E01001747,5298
E01001748,5508
E01001749,4714
E01001750,5362
E01001751,3570
E01001752,4587
E01001753,3602
E01001754,6311
E01001755,4162
E01001756,4949
E01001757,4236
E01001758,6407
E01001759,4463
E01001760,4934
E01001761,6110
E01001762,3678
E01001763,4115
E01001764,4501
E01001765,4868
E01001767,4085
E01001768,4354
E01001769,3932
E01001770,3997
E01001772,4137
E01001773,6008
E01001774,3623
E01001775,4527
E01001776,4544
E01001777,3548
E01001779,6144
E01001780,4741
E01001781,3841
E01001782,5194
E01001783,4297
